"read_num","time","abs","enzyme","abs_corr"
1,0,0.0365,"XenA",-0.0705000000000001
1,27,0.0393,"XenA",0.00846000000000005
1,38,0.0399,"XenA",0.0253799999999999
1,43,0.0406,"XenA",0.0451199999999999
1,50,0.0416,"XenA",0.0733199999999999
1,60,0.0509,"XenA",0.33558
1,70,0.065,"XenA",0.7332
1,85,0.1309,"XenA",2.59158
1,94,0.1772,"XenA",3.89724
2,0,0.0371,"XenA",-0.05358
2,27,0.0395,"XenA",0.0141
2,38,0.0413,"XenA",0.0648600000000001
2,43,0.0422,"XenA",0.09024
2,50,0.0414,"XenA",0.06768
2,60,0.0522,"XenA",0.37224
2,70,0.0692,"XenA",0.85164
2,85,0.1445,"XenA",2.9751
2,94,0.1875,"XenA",4.1877
3,0,0.0382,"XenA",-0.0225600000000001
3,27,0.0393,"XenA",0.00846000000000005
3,38,0.0397,"XenA",0.01974
3,43,0.0403,"XenA",0.0366600000000001
3,50,0.0423,"XenA",0.0930599999999999
3,60,0.0546,"XenA",0.43992
3,70,0.0717,"XenA",0.92214
3,85,0.1512,"XenA",3.16404
3,94,0.1825,"XenA",4.0467
4,0,0.0363,"Blank",-0.07614
4,27,0.0405,"Blank",0.0423
4,38,0.0413,"Blank",0.0648600000000001
4,43,0.0445,"Blank",0.1551
4,50,0.0425,"Blank",0.0987000000000001
4,60,0.059,"Blank",0.564
4,70,0.0804,"Blank",1.16748
4,85,0.1649,"Blank",3.55038
4,94,0.2073,"Blank",4.74606
5,0,0.0366,"Blank",-0.06768
5,27,0.0402,"Blank",0.03384
5,38,0.041,"Blank",0.0564
5,43,0.0418,"Blank",0.0789599999999999
5,50,0.0427,"Blank",0.10434
5,60,0.0537,"Blank",0.41454
5,70,0.0701,"Blank",0.87702
5,85,0.1605,"Blank",3.4263
5,94,0.2052,"Blank",4.68684
6,0,0.0362,"Blank",-0.0789599999999999
6,27,0.0406,"Blank",0.0451199999999999
6,38,0.043,"Blank",0.1128
6,43,0.0421,"Blank",0.08742
6,50,0.0424,"Blank",0.09588
6,60,0.0541,"Blank",0.42582
6,70,0.0687,"Blank",0.83754
6,85,0.1432,"Blank",2.93844
6,94,0.1951,"Blank",4.40202
7,0,0.0365,"Lp NOX WT",-0.0705000000000001
7,27,0.0389,"Lp NOX WT",-0.00282000000000008
7,38,0.0402,"Lp NOX WT",0.03384
7,43,0.0395,"Lp NOX WT",0.0141
7,50,0.0402,"Lp NOX WT",0.03384
7,60,0.0438,"Lp NOX WT",0.13536
7,70,0.0489,"Lp NOX WT",0.27918
7,85,0.0727,"Lp NOX WT",0.95034
7,94,0.0941,"Lp NOX WT",1.55382
8,0,0.0363,"Lp NOX WT",-0.07614
8,27,0.0388,"Lp NOX WT",-0.00563999999999997
8,38,0.0388,"Lp NOX WT",-0.00563999999999997
8,43,0.0391,"Lp NOX WT",0.00282000000000008
8,50,0.0398,"Lp NOX WT",0.0225600000000001
8,60,0.0436,"Lp NOX WT",0.12972
8,70,0.0468,"Lp NOX WT",0.21996
8,85,0.0715,"Lp NOX WT",0.9165
8,94,0.0928,"Lp NOX WT",1.51716
9,0,0.0365,"Lp NOX WT",-0.0705000000000001
9,27,0.0388,"Lp NOX WT",-0.00563999999999997
9,38,0.0394,"Lp NOX WT",0.0112799999999999
9,43,0.0393,"Lp NOX WT",0.00846000000000005
9,50,0.0403,"Lp NOX WT",0.0366600000000001
9,60,0.0434,"Lp NOX WT",0.12408
9,70,0.0477,"Lp NOX WT",0.24534
9,85,0.0735,"Lp NOX WT",0.9729
9,94,0.0957,"Lp NOX WT",1.59894
10,0,0.0363,"Lp NOX I158S-G178Q",-0.07614
10,27,0.0393,"Lp NOX I158S-G178Q",0.00846000000000005
10,38,0.0401,"Lp NOX I158S-G178Q",0.0310199999999999
10,43,0.0405,"Lp NOX I158S-G178Q",0.0423
10,50,0.0412,"Lp NOX I158S-G178Q",0.06204
10,60,0.0452,"Lp NOX I158S-G178Q",0.17484
10,70,0.0535,"Lp NOX I158S-G178Q",0.4089
10,85,0.1128,"Lp NOX I158S-G178Q",2.08116
10,94,0.1658,"Lp NOX I158S-G178Q",3.57576
11,0,0.0368,"Lp NOX I158S-G178Q",-0.06204
11,27,0.0392,"Lp NOX I158S-G178Q",0.00563999999999997
11,38,0.0403,"Lp NOX I158S-G178Q",0.0366600000000001
11,43,0.0405,"Lp NOX I158S-G178Q",0.0423
11,50,0.0414,"Lp NOX I158S-G178Q",0.06768
11,60,0.0461,"Lp NOX I158S-G178Q",0.20022
11,70,0.0547,"Lp NOX I158S-G178Q",0.44274
11,85,0.1212,"Lp NOX I158S-G178Q",2.31804
