"enzyme","time","abs_corr_mean","abs_corr_std"
"Blank",0,-0.07426,0.00587029811849447
"Blank",27,0.04042,0.00587029811849447
"Blank",38,0.07802,0.0304159366122432
"Blank",43,0.10716,0.0417321890151955
"Blank",50,0.09964,0.0043076211532585
"Blank",60,0.46812,0.0832258397374276
"Blank",70,0.96068,0.180178654673632
"Blank",85,3.30504,0.323489770471958
"Blank",94,4.61164,0.183935207070316
"Library A",0,0.029751,0.30916536521994
"Library A",27,0.050337,0.00727785473018554
"Library A",38,0.08601,0.0142182410637662
"Library A",43,0.103212,0.0108410378217508
"Library A",50,0.149178,0.0119257031570249
"Library A",60,0.875469,0.174941650840923
"Library A",70,1.50447,0.0748761777870638
"Library A",85,4.020192,0.133928203766834
"Library A",94,4.98717,0.172755665913634
"Lp NOX I158S-G178Q",0,-0.0752,0.0127160843029605
"Lp NOX I158S-G178Q",27,0.00187999999999999,0.00906503171533341
"Lp NOX I158S-G178Q",38,0.02726,0.011740596236989
"Lp NOX I158S-G178Q",43,0.02444,0.0309344274231801
"Lp NOX I158S-G178Q",50,0.06486,0.00281999999999998
"Lp NOX I158S-G178Q",60,0.26696,0.138160814994701
"Lp NOX I158S-G178Q",70,0.4418,0.0324402157822664
"Lp NOX I158S-G178Q",85,2.26352,0.162127520180875
"Lp NOX I158S-G178Q",94,3.50244,0.0733200000000003
"Lp NOX WT",0,-0.0723800000000001,0.00325625551822947
"Lp NOX WT",27,-0.0047,0.00162812775911468
"Lp NOX WT",38,0.01316,0.0198070290553631
"Lp NOX WT",43,0.00846000000000005,0.00563999999999997
"Lp NOX WT",50,0.03102,0.00746101869720214
"Lp NOX WT",60,0.12972,0.00563999999999996
"Lp NOX WT",70,0.24816,0.0297105435830447
"Lp NOX WT",85,0.94658,0.028387377476618
"Lp NOX WT",94,1.55664,0.0409628661106618
"XenA",0,-0.04888,0.0243131322539898
"XenA",27,0.01034,0.00325625551822947
"XenA",38,0.03666,0.0245841900415695
"XenA",43,0.05734,0.0288045204785638
"XenA",50,0.07802,0.0133268000660323
"XenA",60,0.38258,0.0529329349271321
"XenA",70,0.83566,0.0954782760631967
"XenA",85,2.91024,0.291689436901647
"XenA",94,4.04388,0.145250532529144
